origin	scanNumber	polarity	basePeakMz	basePeakIntensity	totalIonCurrent	id	scanDefinition	msLevel	isolationWindowTargetMz[0]	isolationWindowLowerOffset[0]	isolationWindowUpperOffset[0]	precursorActivationType	precursorCollisionEnergy	precursorCollisionEnergyUnit	ionInjectionTime[0]	isolationMzMin[0]	isolationMzMax[0]	precursorCharge[0]	precursorMz[0]	msFunction	retentionTime	spectrumType	rawTic	foundMass	foundMassRange[ppm]	foundMassLowerBound	foundMassUpperBound	foundMassError[ppm]	foundIntensity	scanRelativeIntensity	calculatedMass	species	fragment	adduct
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	181.11703491210938	10	181.11538882800002	181.119011172	-0.9114975862141323	40918.68	0.0028659177	181.1172	TXB2-d4	181,117	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	311.2164306640625	5	311.215043917	311.218156083	-0.5441095928947985	249363.34	0.017465247	311.2166	TXB2-d4	311,217	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	311.2164306640625	10	311.213487834	311.219712166	-0.5441095928947985	249363.34	0.017465247	311.2166	TXB2-d4	311,217	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	329.2269287109375	5	329.22545386449997	329.2287461355	-0.5202763153676748	1357597.6	0.095085256	329.2271	TXB2-d4	329,227	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	329.2269287109375	10	329.223807729	329.230392271	-0.5202763153676748	1357597.6	0.095085256	329.2271	TXB2-d4	329,227	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	355.2427673339844	5	355.2409237865	355.24447621350004	0.1895436116253465	160614.83	0.011249359	355.2427	TXB2-d4	355,243	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	355.2427673339844	10	355.239147573	355.246252427	0.1895436116253465	160614.83	0.011249359	355.2427	TXB2-d4	355,243	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	173.11204528808594	5	173.1110344405	173.11276555950002	0.8392726666742683	4486453.5	0.3142283	173.1119	TXB2-d4	173,112	[M-H]1-
QExHF03_NM_0001327.mzML	3	NEGATIVE	173.1120454	4.4864535e06	1.4572582e07	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 373.2534@hcd12.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	12.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.6116017	CENTROIDED	1.4277688E7	173.11204528808594	10	173.11016888100002	173.113631119	0.8392726666742683	4486453.5	0.3142283	173.1119	TXB2-d4	173,112	[M-H]1-
QExHF03_NM_0001327.mzML	4	NEGATIVE	173.1120536	4.611181e06	1.5199396e07	controllerType=0 controllerNumber=1 scan=4	FTMS - p NSI Full ms2 373.2534@hcd13.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	13.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.8004698	CENTROIDED	1.488107E7	293.2061462402344	5	293.2044339705	293.2073660295	0.8398201891212318	178479.03	0.011993696	293.2059	TXB2-d4	293,206	[M-H]1-
QExHF03_NM_0001327.mzML	4	NEGATIVE	173.1120536	4.611181e06	1.5199396e07	controllerType=0 controllerNumber=1 scan=4	FTMS - p NSI Full ms2 373.2534@hcd13.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	13.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.8004698	CENTROIDED	1.488107E7	293.2061462402344	10	293.202967941	293.20883205900003	0.8398201891212318	178479.03	0.011993696	293.2059	TXB2-d4	293,206	[M-H]1-
QExHF03_NM_0001327.mzML	4	NEGATIVE	173.1120536	4.611181e06	1.5199396e07	controllerType=0 controllerNumber=1 scan=4	FTMS - p NSI Full ms2 373.2534@hcd13.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	13.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.8004698	CENTROIDED	1.488107E7	199.12777709960938	5	199.1267043615	199.1286956385	0.3871867619152656	4410283.5	0.29636872	199.1277	TXB2-d4	199,128	[M-H]1-
