instrument	origin	scanNumber	polarity	basePeakMz	basePeakIntensity	totalIonCurrent	id	scanDefinition	msLevel	isolationWindowTargetMz[0]	isolationWindowLowerOffset[0]	isolationWindowUpperOffset[0]	precursorActivationType	precursorCollisionEnergy	precursorCollisionEnergyUnit	ionInjectionTime[0]	isolationMzMin[0]	isolationMzMax[0]	precursorCharge[0]	precursorMz[0]	msFunction	retentionTime	spectrumType	rawTic	foundMass	foundMassRange[ppm]	foundMassLowerBound	foundMassUpperBound	foundMassError[ppm]	foundIntensity	scanRelativeIntensity	calculatedMass	species	fragment	adduct
null	QExHF03_NM_0001544.mzML	7	NEGATIVE	718.5394035	1.0971232e06	1.6458051e06	controllerType=0 controllerNumber=1 scan=7	FTMS - p NSI Full ms2 718.5392@hcd16.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	16.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.9308316	CENTROIDED	1586835.0	718.5394287109375	5	718.5356366187624	718.5428220110556	0.2775019377806071	1097123.2	0.6913909	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	7	NEGATIVE	718.5394035	1.0971232e06	1.6458051e06	controllerType=0 controllerNumber=1 scan=7	FTMS - p NSI Full ms2 718.5392@hcd16.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	16.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.9308316	CENTROIDED	1586835.0	718.5394287109375	10	718.5320439226159	718.5464147072021	0.2775019377806071	1097123.2	0.6913909	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	7	NEGATIVE	718.5394035	1.0971232e06	1.6458051e06	controllerType=0 controllerNumber=1 scan=7	FTMS - p NSI Full ms2 718.5392@hcd16.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	16.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.9308316	CENTROIDED	1586835.0	466.294677734375	5	466.2915820953412	466.2962450344769	1.6388150129148937	27812.467	0.017527007	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
null	QExHF03_NM_0001544.mzML	7	NEGATIVE	718.5394035	1.0971232e06	1.6458051e06	controllerType=0 controllerNumber=1 scan=7	FTMS - p NSI Full ms2 718.5392@hcd16.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	16.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.9308316	CENTROIDED	1586835.0	466.294677734375	10	466.2892506257734	466.2985765040447	1.6388150129148937	27812.467	0.017527007	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
null	QExHF03_NM_0001544.mzML	8	NEGATIVE	718.5395651	8.6200612e05	1.48786e06	controllerType=0 controllerNumber=1 scan=8	FTMS - p NSI Full ms2 718.5392@hcd17.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	17.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	2.1898365	CENTROIDED	1443210.4	269.2485656738281	5	269.247257751889	269.249950237929	-0.14232601505229636	462066.88	0.320166	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	8	NEGATIVE	718.5395651	8.6200612e05	1.48786e06	controllerType=0 controllerNumber=1 scan=8	FTMS - p NSI Full ms2 718.5392@hcd17.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	17.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	2.1898365	CENTROIDED	1443210.4	269.2485656738281	10	269.245911508869	269.25129648094895	-0.14232601505229636	462066.88	0.320166	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	8	NEGATIVE	718.5395651	8.6200612e05	1.48786e06	controllerType=0 controllerNumber=1 scan=8	FTMS - p NSI Full ms2 718.5392@hcd17.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	17.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	2.1898365	CENTROIDED	1443210.4	448.282958984375	5	448.28110744816564	448.2855902816544	-0.8697189757273904	9435.251	0.0065376824	448.28334886491	PE 17:0-17:0	-FA 17:0(+HO)	[M-H]1-
null	QExHF03_NM_0001544.mzML	8	NEGATIVE	718.5395651	8.6200612e05	1.48786e06	controllerType=0 controllerNumber=1 scan=8	FTMS - p NSI Full ms2 718.5392@hcd17.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	17.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	2.1898365	CENTROIDED	1443210.4	448.282958984375	10	448.2788660314214	448.28783169839863	-0.8697189757273904	9435.251	0.0065376824	448.28334886491	PE 17:0-17:0	-FA 17:0(+HO)	[M-H]1-
null	QExHF03_NM_0001544.mzML	8	NEGATIVE	718.5395651	8.6200612e05	1.48786e06	controllerType=0 controllerNumber=1 scan=8	FTMS - p NSI Full ms2 718.5392@hcd17.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	17.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	2.1898365	CENTROIDED	1443210.4	718.53955078125	5	718.5356366187624	718.5428220110556	0.4473887129485933	862006.1	0.5972838	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	8	NEGATIVE	718.5395651	8.6200612e05	1.48786e06	controllerType=0 controllerNumber=1 scan=8	FTMS - p NSI Full ms2 718.5392@hcd17.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	17.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	2.1898365	CENTROIDED	1443210.4	718.53955078125	10	718.5320439226159	718.5464147072021	0.4473887129485933	862006.1	0.5972838	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
